Grade,Unit,Chapter,ChapterName,Spanish Chapter Name,ChapterDescription,ChapterDescriptionStident,ChapterDescriptionStidentSpanish
6,4,5,Protect a Species Project,Proyecto de Protección de una Especie,"The culminating experience of the unit is the Protect a Species Project. After a review of the project requirements, students study how climate change will affect their chosen species and brainstorm ideas for its protection. Students prepare posters and an oral presentation. During their preparations, students also have the opportunity to ask their peers questions and practice sharing key information. They are encouraged to share their presentations with someone in their adopted cities as well. A final assessment gauges understanding of how environmental and genetic factors affect species survival. To conclude, students learn about the reasons to protect the honey bee.","The final chapter focuses on the Protect a Species Project, where we apply our knowledge and passion to protect a species impacted by climate change. We&rsquo;ll choose a species to study in one of our adopted cities from the weather and climate unit. In this way, we already know a lot about how environmental factors may be affecting species in this area. After studying how climate change impacts our chosen species, we&rsquo;ll brainstorm ideas for species protection and conservation. We&rsquo;ll then create posters and an oral presentation sharing our proposals, and then we'll share those proposals with someone in one of our adopted cities. The goal here is to help others understand that we can do something to protect threatened plants and animals.","El capítulo final se centra en el Proyecto Proteger una Especie, donde aplicamos nuestro conocimiento y pasión para proteger una especie afectada por el cambio climático. Elegiremos una especie para estudiar en una de nuestras ciudades adoptadas de la unidad de clima y tiempo. De esta manera, ya sabemos mucho sobre cómo los factores ambientales pueden estar afectando a las especies en esta área. Después de estudiar cómo el cambio climático afecta a nuestra especie elegida, generaremos ideas para la protección y conservación de la especie. Luego crearemos pósters y una presentación oral compartiendo nuestras propuestas, y luego compartiremos esas propuestas con alguien en una de nuestras ciudades adoptadas. El objetivo aquí es ayudar a otros a entender que podemos hacer algo para proteger las plantas y animales amenazados."
6,5,1,The Story of Trash,La Historia de la Basura,"The unit begins with a pre-assessment and an introduction to the unit challenge: To create a solution to reduce waste. Two Green Ninja videos serve as a stimulus to thinking. With the ""Story of Trash"" exercise, students model of what happens to waste and then share their models with the class. Afterwards, they study waste generation in the U.S., then collect and categorize trash at school. They then begin to formulate plans to reduce waste. California's AB-1826 legislation relating to waste is introduced, and students begin a five-day trash diary. Finally, they consider watersheds and how pollution enters Earth&rsquo;s waterways. ","Welcome to an interesting unit that will see you becoming a waste management expert. Your task is to create a solution to help reduce waste. You'll start the chapter with two Green Ninja videos, where you'll explore the ""Story of Trash"" and start building your own waste model. You'll gain hands-on experience in categorizing waste at school and start formulating plans for waste reduction. We'll look at some real-world legislation, like California's AB-1826, and start a five-day trash diary. Finally, we'll examine watersheds and explore how pollution can impact Earth's waterways.","Bienvenidos a una interesante unidad en la que se convertirán en expertos en gestión de residuos. Su tarea es crear una solución para ayudar a reducir los residuos. Comenzarán el capítulo con dos videos de Green Ninja, donde explorarán ""La historia de la basura"" y comenzarán a construir su propio modelo de residuos. Obtendrán experiencia práctica en categorizar residuos en la escuela y comenzarán a formular planes para reducir los residuos. Analizaremos legislación del mundo real, como la AB-1826 de California, y comenzaremos un diario de basura de cinco días. Finalmente, examinaremos cuencas hidrográficas y exploraremos cómo la contaminación puede afectar los cursos de agua de la Tierra."
6,5,2,The Water Cycle,El Ciclo del Agua,"Students explore evaporation and begin designing models of the water cycle, examining clouds and other phenomena such as fog and dew. Students investigate raindrops&mdash;their shape and formation, and follow what happens to water after it falls to Earth as precipitation. They then revise their water cycle concept map models. Afterwards, students extend their knowledge of the water cycle by creating comic strips about the journey of a water molecule through each of its stages. Finally, once it is completed, students share their comic strips with their peers.","In this chapter, we begin our investigation of pollution and waste in water by learning about the water cycle, with a particular focus on the science of evaporation. We'll design water cycle models and examine intriguing phenomena such as clouds, fog, and dew. You'll also study the journey of a raindrop - how it forms, and what happens after it falls to Earth. We'll finish off with some creativity, where you'll bring the journey of a water molecule to life in the form of a comic strip.","En este capítulo, comenzamos nuestra investigación de la contaminación y los residuos en el agua aprendiendo sobre el ciclo del agua, con un enfoque particular en la ciencia de la evaporación. Diseñaremos modelos del ciclo del agua y examinaremos fenómenos intrigantes como las nubes, la niebla y el rocío. También estudiarán el viaje de una gota de lluvia, cómo se forma y qué sucede después de que cae a la Tierra. Terminaremos con un poco de creatividad, donde darán vida al viaje de una molécula de agua en forma de una tira cómica."
6,5,3,Cells,Células,"Students are introduced to the project they will use to address the unit challenge. They continue their focus on pollution and waste as they move from studying the water cycle to studying the life in pond water. They discover that some living things are comprised of only a single cell. They learn from cell theory that living things are made up of cells. Then, they connect their understanding of the water cycle, cells, and how waste moves around. Students perform an investigation to provide evidence that living things are made of cells, and submit reports for assessment. Unit Concept Checkpoint #1 is completed in this chapter.","Now, it's time to turn our focus towards our unit challenge - finding ways to reduce pollution and waste. We'll transition from studying the water cycle to examining pond life and discover that some organisms are single-celled. Using our understanding of cell theory, we'll connect the dots between the water cycle, cells, and waste. You'll also have the chance to provide evidence that all living things are made of cells.","Ahora es el momento de centrarnos en nuestro desafío de la unidad: encontrar formas de reducir la contaminación y los residuos. Pasaremos de estudiar el ciclo del agua a examinar la vida en los estanques y descubriremos que algunos organismos son unicelulares. Utilizando nuestra comprensión de la teoría celular, conectaremos los puntos entre el ciclo del agua, las células y los residuos. También tendrán la oportunidad de proporcionar evidencia de que todos los seres vivos están hechos de células."
6,5,4,Cell Processes,Procesos Celulares,"In this series of lessons, students continue their exploration of cell structure as they look at the cell membrane's role in regulating the passage of water into cells. Students watch a demonstration of a selectively permeable membrane, then develop and critique models to illustrate how the cell membrane controls the entry and exit of substances. In teams, they analyze their trash diaries and evaluate the effectiveness of their action plans. Lastly, students provide an explanation about the effects of pollution in light of their new knowledge about cells.","Our exploration of cells continues in this chapter, as we focus on the cell membrane and its role in controlling the passage of substances. You'll get to observe a demonstration of a selectively permeable membrane and develop your own models. Additionally, you'll assess your trash diaries and evaluate the effectiveness of your waste reduction plans. Ultimately, you'll explore how pollution can affect cells and thereby all living things. This understanding will help motivate us about the importance of our unit project - to design a method to reduce pollution and waste.","Nuestra exploración de las células continúa en este capítulo, mientras nos enfocamos en la membrana celular y su papel en el control del paso de sustancias. Verán una demostración de una membrana selectivamente permeable y desarrollarán sus propios modelos. Además, evaluarán sus diarios de basura y evaluarán la efectividad de sus planes de reducción de residuos. En última instancia, explorarán cómo la contaminación puede afectar a las células y, por lo tanto, a todos los seres vivos. Esta comprensión nos ayudará a motivarnos sobre la importancia de nuestro proyecto de unidad: diseñar un método para reducir la contaminación y los residuos."
6,5,5,The Body Is a System,El Cuerpo es un Sistema,"Students begin by studying the organization of complex organisms, learning about the hierarchical relationship between cells and complete organisms. A special skills lesson helps students acquire strategies for conducting efficient online research, essential not only in this unit but also for future activities. In groups, students research specific body systems and create posters to educate their peers. A rubric guides students and sets expectations. In an interactive poster session, students present their completed posters, then explore and learn from the research conducted by their peers.","This chapter takes you on a journey through the organization of complex organisms, from cells to complete organisms. To aid your exploration, you'll learn effective strategies for conducting online research. In your groups, you'll delve into specific body systems, create informative posters, and share your findings in an interactive poster session. Now we can more clearly see how even pollution at the cellular level can impact an entire organism.","Este capítulo los llevará en un viaje a través de la organización de organismos complejos, desde células hasta organismos completos. Para ayudar en su exploración, aprenderán estrategias efectivas para realizar investigaciones en línea. En sus grupos, profundizarán en sistemas corporales específicos, crearán carteles informativos y compartirán sus hallazgos en una sesión interactiva de carteles. Ahora podemos ver más claramente cómo incluso la contaminación a nivel celular puede impactar a todo un organismo."
6,5,6,Understanding the Body Systems,Entendiendo los Sistemas del Cuerpo,"The chapter begins with an engaging activity to develop understanding of the interactions of body systems&mdash;students take on the roles of healthcare workers and assess &ldquo;patients&rdquo;, and then explore how transplants help in treating of serious health problems. Students review the qualities of a Green Ninja, making connections between environmental issues and science concepts. A range of relevant career pathways is considered. Students realize that ancient scientists extended their knowledge by building upon the work of others. Unit Concept Checkpoint #2 concludes this chapter.","In this chapter, we'll engage in an activity where you'll become healthcare workers assessing 'patients' who are struggling with challenges related to environmental exposure. This activity will help us better understand the interactions of body systems. Connections will be drawn between environmental issues and science concepts, and we'll consider relevant career paths.","En este capítulo, participarán en una actividad en la que se convertirán en trabajadores de la salud evaluando a ""pacientes"" que enfrentan desafíos relacionados con la exposición ambiental. Esta actividad nos ayudará a comprender mejor las interacciones de los sistemas corporales. Se establecerán conexiones entre los problemas ambientales y los conceptos científicos, y se considerarán carreras relevantes."
6,5,7,Reducing Pollution Project,Proyecto de Reducción de la Contaminación,"In the culminating activity, student teams gather the data they have collected during the unit to design four-square posters highlighting the results of their action plans. Analysis and reflection are important components of this project. The final assessment demonstrates student understanding of cell structure and function, the body as a system, and the cycling of water through Earth&rsquo;s systems. To conclude, students reflect on their achievements throughout the unit.","It's time to bring it all together in the final chapter. In this culminating activity, you'll gather your data to design posters sharing the proposals and results of your waste and pollution reduction action plans. This chapter involves reflecting on your project and understanding the interconnectedness of cell structure, body systems, and the water cycle. We also should understand that if some of our proposals were adopted by others, we really could see our community become cleaner and healthier.","Es hora de unir todo en el capítulo final. En esta actividad culminante, reunirán sus datos para diseñar carteles que compartan las propuestas y resultados de sus planes de acción para la reducción de residuos y contaminación. Este capítulo implica reflexionar sobre su proyecto y comprender la interconexión de la estructura celular, los sistemas corporales y el ciclo del agua. También debemos comprender que si algunos de nuestros planes fueran adoptados por otros, podríamos ver que nuestra comunidad se vuelva más limpia y saludable."
6,6,1,Sensory Response,Respuesta Sensorial,"To begin this unit, students are introduced to the unit challenge: Tell a story that will change the world. The steps needed to achieve their goal are outlined. Students take a pre-assessment testing understanding of storytelling and sensory perception. A discussion about prior unit challenges and solutions to climate change orients the students toward possible stories. Students explore human sensory responses to visuals and sounds in film, and then gather information about how messages are received in the brain from sensory receptors which respond to stimuli. ","To start off this unit, we have a big challenge for you: to tell a story that will change the world. We're going to learn about storytelling and filmmaking, and also about how our senses influence our thoughts and feelings. We&rsquo;ll discuss the challenges we face with climate change and some of the creative solutions people are coming up with. Then you'll step into the shoes of a changemaker to create your own stories about solutions to an environmental challenge.","Para comenzar esta unidad, tenemos un gran desafío para ti: contar una historia que cambie el mundo. Aprenderemos sobre narración de historias y producción cinematográfica, y también sobre cómo nuestros sentidos influyen en nuestros pensamientos y sentimientos. Discutiremos los desafíos que enfrentamos con el cambio climático y algunas soluciones creativas que las personas están ideando. Luego, te pondrás en los zapatos de un agente de cambio para crear tus propias historias sobre soluciones a un desafío ambiental."
6,6,2,Communicating a Message,Comunicando un Mensaje,"Students design a research project analyzing audience response to media. They brainstorm themes, develop two versions of a message, and seek feedback from peers. They create a survey tool to collect data, and then present their media pieces to different people. The results are collated and analyzed. Students learn about source verification and evaluate scientific research on the impacts that media/images have on human behavior. Finally, students revisit their model of sensory response and reflect on how their findings can inform their storytelling.","In this chapter, you&rsquo;ll take on the role of a researcher to study how different people react to various messages. We're all unique individuals with our own quirks and preferences, including the way we receive and respond to messages. You're going to conduct a small research project, creating your own survey tool and collecting data to explore how people respond to different messages. This study will help us better understand how to create impactful messages for different audiences.","En este capítulo, asumirás el papel de investigador para estudiar cómo diferentes personas reaccionan a varios mensajes. Todos somos individuos únicos con nuestras propias peculiaridades y preferencias, incluida la forma en que recibimos y respondemos a los mensajes. Realizarás un pequeño proyecto de investigación, creando tu propia herramienta de encuesta y recopilando datos para explorar cómo las personas responden a diferentes mensajes. Este estudio nos ayudará a comprender mejor cómo crear mensajes impactantes para diferentes audiencias.
"
6,6,3,Story Development,Desarrollo de Historias,"The Story Spine is explained as a framework for storytelling. Then, students view a Green Ninja episode and break it down using the Story Spine. They also apply the Story Spine to The Three Little Pigs, and retell this story with a scientific twist. While working to finalize two story pitches, students also watch a student-made film for inspiration. Afterwards, they select one of their two story pitches to polish. They learn about basic film techniques, and then practice shooting mini video interviews. Finally, students develop storyboards for their films.","This chapter is focused on the exciting world of storytelling and media analysis. We will begin by introducing the Story Spine, a framework to help you create engaging narratives. We&rsquo;ll have fun using the Story Spine to analyze stories, and you will surprise your classmates with your new version of The Three Little Pigs! The main goal of this unit is to give you time to develop your own story. You&rsquo;ll have the chance to brainstorm different ideas and refine your story with other students. You&rsquo;ll learn the art of filmmaking and have the opportunity to practice and refine your skills. Anyone can come up with a story, but creating a great one requires persistence and hard work. Let&rsquo;s get going!","Este capítulo se enfoca en el emocionante mundo de la narración de historias y el análisis de medios. Comenzaremos presentando la Espina de la Historia, un marco para ayudarte a crear narrativas atractivas. Nos divertiremos usando la Espina de la Historia para analizar historias, ¡y sorprenderás a tus compañeros de clase con tu nueva versión de Los Tres Cerditos! El objetivo principal de esta unidad es darte tiempo para desarrollar tu propia historia. Tendrás la oportunidad de generar diferentes ideas y perfeccionar tu historia con otros estudiantes. Aprenderás el arte de la producción cinematográfica y tendrás la oportunidad de practicar y perfeccionar tus habilidades. Cualquiera puede idear una historia, pero crear una gran historia requiere persistencia y trabajo duro. ¡Empecemos!"
6,6,4,Scientific Storytelling,Narración Científica,"Students are now ready to start producing and shooting their films, drawing on the knowledge they have gained throughout the unit. They share their videos with peers, family, and friends for feedback. Digital portfolios are part of the assessment and are submitted along with the films. The unit concludes with a Green Ninja Film Festival and a presentation of awards.","Now for the final chapter: it's time to bring your filmmaking skills to life! You'll have lots to remember as you think about the Story Spine, your storyboard, and the different video techniques you've been practicing. Props, costumes, dialogue, video equipment - it'll be all the fun of a real film set. And finally, you will have the opportunity to show your film to other students and maybe even the world via the Green Ninja Film Festival. Who knows - you may create a film that really does change the world!","Ahora, para el último capítulo: ¡es hora de dar vida a tus habilidades de producción cinematográfica! Tendrás mucho en qué pensar mientras consideras la Espina de la Historia, tu guión gráfico y las diferentes técnicas de video que has estado practicando. Accesorios, vestuario, diálogo, equipo de video: será toda la diversión de un verdadero set de filmación. Y finalmente, tendrás la oportunidad de mostrar tu película a otros estudiantes y tal vez incluso al mundo a través del Festival de Cine Green Ninja. Quién sabe, ¡puedes crear una película que realmente cambie el mundo!"
7,1,1,Whatâ€™s Inside a Smartphone?,¿Qué hay dentro de un Smartphone?,"Students gain an understanding of the resources involved in manufacturing smartphones. The unit challenge, to design a more sustainable smartphone, is introduced. Students classify the main parts of a smartphone, and identify the materials used and recognize their  scarcity. Rare earth elements (REEs) ae introduced. Resources are assigned to students who then conduct research into their physical characteristics, applications, and locations, marking them on a world map. Students present their findings and conclude by writing summaries highlighting their understanding of the worldwide distribution of material resources.","Welcome to the start of a unit where you'll be tasked with an important challenge: designing a more sustainable smartphone. This initial chapter will have you classifying the main parts of a smartphone, identifying the materials used in their manufacture, and understanding the scarcity of these resources. We'll delve into Rare Earth Elements, and you'll research their physical properties, applications, and locations worldwide. By presenting your findings and writing summaries, you'll demonstrate your understanding of the global distribution of material resources. This knowledge will be instrumental as you move forward with the unit challenge.","Bienvenidos al comienzo de una unidad en la que se les encargará un desafío importante: diseñar un teléfono inteligente más sostenible. Este capítulo inicial los llevará a clasificar las principales partes de un teléfono inteligente, identificar los materiales utilizados en su fabricación y comprender la escasez de estos recursos. Profundizaremos en los Elementos de Tierras Raras, y buscarán información sobre sus propiedades físicas, aplicaciones y ubicaciones en todo el mundo. Al presentar sus hallazgos y escribir resúmenes, demostrarán su comprensión de la distribución global de los recursos materiales. Este conocimiento será fundamental a medida que avancen con el desafío de la unidad."
7,1,2,Continental Drift,Deriva Continental,"This chapter begins with an explanation about using Claims-Evidence-Reasoning (CER) as a tool for constructing scientific explanations. Students begin exploring evidence to support Wegener&rsquo;s hypothesis about continental drift by performing a skit and building a Pangaea puzzle. They analyze the creation of new seafloor by making models and using non-contact rangefinders. Using these experiences, they write CER statements supporting Wegener&rsquo;s theory. Students then return to the skit to write a prologue using evidence from more recent findings. Unit Concept Checkpoint #1 is included in this chapter.","In this chapter, we're reviewing the tool of Claims-Evidence-Reasoning (CER) for constructing scientific explanations. You'll investigate continental drift, Wegener's hypothesis, by performing a skit and building a Pangaea puzzle. Exploring the creation of new seafloor through model-making and non-contact rangefinders, you'll write CER statements supporting Wegener's theory. By the end of the chapter, you'll have a more comprehensive understanding of the Earth's geology, which will be invaluable in creating a more sustainable smartphone.","En este capítulo, revisaremos la herramienta de Reclamaciones-Evidencias-Razonamientos (CER) para construir explicaciones científicas. Investigarán la deriva continental, la hipótesis de Wegener, realizando una obra de teatro y armando un rompecabezas de Pangea. Explorarán la creación de nuevo fondo marino mediante la fabricación de modelos y telémetros sin contacto, y escribirán declaraciones CER que respalden la teoría de Wegener. Al final del capítulo, tendrán una comprensión más completa de la geología de la Tierra, que será invaluable en la creación de un teléfono inteligente más sostenible."
7,1,3,The Rock Cycle,El Ciclo de las Rocas,"Students begin exploring the rock cycle by observing a rock floating on water, discovering it is made of sugar. They create a diagram showing both an Earth-made rock and the sugar rock, and reflect on the igneous rock process. In a similar investigation, another diagram is created showing the formation of sedimentary rocks. The microscope reveals a different rock, this time a metamorphic rock. A kinesthetic rock cycle game allows students to experience the transformation of rocks. Students write Rock Cycle Stories, and construct flowcharts of journeys that rocks undertake throughout the rock cycle. Student understanding can be evaluated in Unit Concept Checkpoint #2.","In this chapter, we&rsquo;ll prepare for a journey through the rock cycle. Starting with a sugar rock that floats on water, you'll diagram the formation process of this sugar rock and an Earth-made rock. This activity helps illuminate the process of igneous rock formation. From sedimentary to metamorphic rocks, each type will be studied, providing a hands-on understanding of the rock cycle. Finishing the chapter with a kinesthetic rock cycle game, Rock Cycle Stories, and flowcharts of rock journeys will further solidify your understanding of the materials that make up our smartphones.","En este capítulo, nos prepararemos para un viaje a través del ciclo de las rocas. Comenzando con una roca de azúcar que flota sobre el agua, diagramarán el proceso de formación de esta roca de azúcar y una roca hecha en la Tierra. Esta actividad ayuda a iluminar el proceso de formación de rocas ígneas. Desde rocas sedimentarias hasta rocas metamórficas, se estudiará cada tipo, proporcionando una comprensión práctica del ciclo de las rocas. Terminando el capítulo con un juego cinestésico de ciclo de las rocas, Historias del ciclo de las rocas, y diagramas de flujo de los viajes de las rocas, se solidificará aún más su comprensión de los materiales que componen nuestros teléfonos inteligentes."
7,1,4,Designing a Smarter Smartphone,Diseñando un Smartphone más Inteligente,"Having analyzed the life cycle of smartphones, it is time now to design a more sustainable smartphone. Students will create pamphlets educating people on the environmental impact of smartphones, and proposing sustainable solutions. After brainstorming and receiving peer feedback, students work on mock-ups and prepare their final pamphlets. During a gallery walk, students vote for the best pamphlets in different categories. Finally, students reflect on the connections between science, technology, and the environment in the context of smartphones. A post-assessment is followed by personal reflections on the unit.","In this final chapter, it's time to apply your accumulated knowledge towards the unit challenge: designing a more sustainable smartphone. This chapter will have you creating educational pamphlets on the environmental impact of smartphones and proposing sustainable alternatives. After a period of brainstorming and peer feedback, you'll work on your mock-ups and prepare your final pamphlets. During a gallery walk, everyone will vote for their favorite pamphlets. Finally, reflecting on the connections between science, technology, and the environment in the context of smartphones will give you insights into your unit challenge outcome and possible future ideas on how to make many different products more sustainable.","En este capítulo final, es hora de aplicar su conocimiento acumulado hacia el desafío de la unidad: diseñar un teléfono inteligente más sostenible. Este capítulo los llevará a crear folletos educativos sobre el impacto ambiental de los teléfonos inteligentes y proponer alternativas sostenibles. Después de un período de lluvia de ideas y retroalimentación de sus compañeros, trabajarán en sus prototipos y prepararán sus folletos finales. Durante una caminata por la galería, todos votarán por sus folletos favoritos. Finalmente, reflexionar sobre las conexiones entre la ciencia, la tecnología y el medio ambiente en el contexto de los teléfonos inteligentes les dará ideas sobre el resultado del desafío de la unidad y posibles ideas futuras sobre cómo hacer que muchos productos sean más sostenibles."
7,2,1,Petroleum Formation,Formación del Petróleo,"Students take a pre-assessment and then watch a Green Ninja video to introduce the unit challenge: To reduce your family&rsquo;s dependence on petroleum for transportation. Students begin collecting data in transportation journals for use in upcoming lessons. They view a narration describing how petroleum forms, then create illustrations and write summaries of the process. An interesting activity using asterisks helps students grasp the enormity of a hundred million years and the time required for the formation of petroleum. Students consider whether petroleum is a renewable or nonrenewable resource.",Welcome to a journey into the world of energy and transportation! Get ready to explore and learn about reducing our dependence on petroleum. What's the challenge for this unit? To reduce your family's dependence on petroleum for transportation! The chapter starts with you becoming a transportation detective as you observe and record how your family uses different means of transport and explore various options. We'll also begin to explore the process of petroleum formation. Just how long does it take for petroleum to form?,¡Bienvenido a un viaje al mundo de la energía y el transporte! Prepárate para explorar y aprender sobre cómo reducir nuestra dependencia del petróleo. ¿Cuál es el desafío de esta unidad? ¡Reducir la dependencia de tu familia del petróleo para el transporte! El capítulo comienza convirtiéndote en un detective del transporte mientras observas y registras cómo tu familia utiliza diferentes medios de transporte y exploras varias opciones. También comenzaremos a explorar el proceso de formación del petróleo. ¿Cuánto tiempo tarda el petróleo en formarse?
7,2,2,Petroleum Distribution and Use,Distribución y Uso del Petróleo,"Students explore the formation and nature of petroleum as a resource and engage in a scavenger hunt to locate global petroleum reserves. They identify the top ten reserves and deliver mock interviews providing evidence-based explanations for the uneven distribution. The focus then shifts to human use of petroleum, with a timeline showing the significant increase in human petroleum consumption and its impact on global distribution. Students create data tables to organize their family's mileage records, and then brainstorm strategies and develop action plans to reduce gasoline-dependent transportation. This chapter includes Unit Concept Checkpoint #1.","In this chapter, we'll delve deeper into the formation and nature of petroleum as a valuable resource. You'll use your investigative skills on a scavenger hunt to locate global petroleum reserves, and then use your communication skills to explain why these reserves are unevenly distributed. Next, we'll shift our focus to human use of petroleum. Many of us will be surprised to see a timeline showing how petroleum consumption has changed over time. We'll organize our information with data tables and use this information to brainstorm strategies to reduce our use of petroleum in the future.","En este capítulo, profundizaremos (sin doble sentido) en la formación y naturaleza del petróleo como un recurso valioso. Utilizarás tus habilidades de investigación en una búsqueda del tesoro para localizar las reservas globales de petróleo y luego utilizarás tus habilidades de comunicación para explicar por qué estas reservas están distribuidas de manera desigual. Luego, cambiaremos nuestro enfoque al uso humano del petróleo. Muchos de nosotros nos sorprenderemos al ver una línea de tiempo que muestra cómo ha cambiado el consumo de petróleo con el tiempo. Organizaremos nuestra información con tablas de datos y utilizaremos esta información para idear estrategias para reducir nuestro uso de petróleo en el futuro."
7,2,3,Understanding Hydrocarbons,Entendiendo los Hidrocarburos,"Students investigate why gasoline is such a great energy source. They study the structure of hydrocarbons by making two- and three-dimensional models of simple hydrocarbon chains. Afterwards, they review the change of state between liquid and gas, and relate it to a distillation unit. Students use this understanding to design experiments to separate a mixture of two liquids. Then they perform the fractional distillation of water and rubbing alcohol using the procedure they designed. Finally, they determine methods to verify that the separation was successful, complete graphic organizers, and write a story explaining fractional distillation.","Science comes to life in this chapter with models, experiments, and creative storytelling. Get ready to travel into the world of gasoline and its incredible energy properties. We'll uncover the secrets of hydrocarbons, the magical molecules that make up gasoline. Then, you'll design your own experiments to figure out how to separate mixtures like they do in the petroleum industry. You'll share what you've learned by creating a story about the entire distillation process.","La ciencia cobra vida en este capítulo con modelos, experimentos y narración creativa. Prepárate para viajar al mundo de la gasolina y sus increíbles propiedades energéticas. Descubriremos los secretos de los hidrocarburos, las moléculas mágicas que conforman la gasolina. Luego, diseñarás tus propios experimentos para descubrir cómo separar mezclas como lo hacen en la industria del petróleo. Compartirás lo que has aprendido creando una historia sobre todo el proceso de destilación."
7,2,4,Plastics in Our Lives,Los Plásticos en Nuestras Vidas,"Students begin by examining how plastics are refined, and by developing models of polymers. They create cross-linked polymers, recording observations of the process. The class then makes a chart showing the different types of plastic products used at home. They watch a video highlighting different paths of the plastic life cycle and showing the importance of recycling and reducing plastic usage. Students research and compare bioplastics and petroleum-based plastics using decision matrices. Finally, they apply engineering design principles to imagine a container for transporting vital organs.","We move on to an intriguing chapter about the world of plastics and their refinement. To kick things off, we'll create models of polymers, then experiment with real polymers. Watch them develop before your eyes! You'll investigate the variety of properties of different plastics, recognizing their incredible versatility in our everyday lives. We'll also explore the bigger picture: the plastic life cycle, and the importance of recycling and reducing our plastic usage.","Pasamos a un capítulo intrigante sobre el mundo de los plásticos y su refinamiento. Para comenzar, crearemos modelos de polímeros y luego experimentaremos con polímeros reales. ¡Los verás desarrollarse ante tus ojos! Investigarás la variedad de propiedades de diferentes plásticos, reconociendo su increíble versatilidad en nuestra vida cotidiana. También exploraremos la imagen más amplia: el ciclo de vida del plástico y la importancia del reciclaje y la reducción de nuestro uso de plástico."
7,2,5,Petroleum and Transportation,El Petróleo y el Transporte,"In this chapter, students analyze and interpret graphs and explain the relationship between datasets. They then construct explanations for transportation&rsquo;s carbon footprint using the CER format. A combustion animation tool helps students investigate why transportation produces GHGs. Finally, students construct an explanation as to why different hydrocarbons release different amounts of carbon dioxide during combustion.","In this short chapter, you'll examine graphs on petroleum production, carbon dioxide levels, and global temperatures. Your task is to find their connections and determine transportation's role in this mix using the CER format. Ready to become a data detective? Let's go!","En este breve capítulo, examinarás gráficos sobre la producción de petróleo, los niveles de dióxido de carbono y las temperaturas globales. Tu tarea es encontrar sus conexiones y determinar el papel del transporte en esta mezcla utilizando el formato CER. ¿Listo para convertirte en un detective de datos? ¡Vamos!"
7,2,6,Transportation and Air Quality,Transporte y Calidad del Aire,"Students now learn about air quality measurements, pollutants, and the Air Quality Index (AQI). Students design and set up their own air quality monitors. They investigate the effect of wildfires on air quality while analyzing the components of wildfire smoke. Based on their findings, students create wildfire alert bulletins. An analysis of California EEI maps shows factors affecting air quality.  Students share findings from their air quality monitors, revising their designs if necessary. Unit Concept Checkpoint #2 is found in this chapter.","It's time to become guardians of clean air. But how do we measure air quality? That's where the Air Quality Index (AQI) comes in. You'll become familiar with this valuable tool, learning how to interpret its readings to support our health and well-being. You'll have the amazing opportunity to design and set up your very own air quality monitors, gathering real-time data to see what's really happening around you. Creativity and communication combine as you use real-world data to inform and protect others from potential air quality hazards.","Es hora de convertirnos en guardianes del aire limpio. Pero, ¿cómo medimos la calidad del aire? Ahí es donde entra en juego el Índice de Calidad del Aire (ICA). Te familiarizarás con esta valiosa herramienta, aprendiendo a interpretar sus lecturas para apoyar nuestra salud y bienestar. Tendrás la increíble oportunidad de diseñar y configurar tus propios monitores de calidad del aire, recopilando datos en tiempo real para ver lo que realmente está sucediendo a tu alrededor. La creatividad y la comunicación se combinan mientras utilizas datos del mundo real para informar y proteger a otros de posibles peligros de calidad del aire."
7,2,7,Get the Message Out,Transmitiendo el Mensaje,"Students finalize work on their air quality monitor design, and begin the culminating activity. They produce scripts for plays or commercials in the form of Public Service Announcements to educate people about the importance of reducing petroleum-based transportation. After filming the PSAs, students gather feedback from family and friends. Students show their PSAs to the class, vote for their favorites, and receive certificates. They then complete a unit assessment. Three case studies highlight changemakers who are using less. Finally, an interactive presentation gives strategies to reduce, rather than reuse or recycle.","In the final chapter of the unit, your inner filmmaker can come alive as you create a Public Service Announcement (PSA) emphasizing the importance of reducing petroleum-based transportation. You'll write scripts that capture the essence of the message and highlight the need for sustainable alternatives. Grab your cameras and film your PSAs, showcasing your acting skills, visual storytelling techniques, and persuasive abilities. Insights from family and friends, your very own focus group, will help you refine and improve your ideas. Finally, you&rsquo;ll share your PSAs and engage in a friendly competition. It's an opportunity to appreciate the incredible work of your peers and learn from their approaches.","En el capítulo final de la unidad, tu cineasta interior puede cobrar vida mientras creas un Anuncio de Servicio Público (PSA) que enfatice la importancia de reducir el transporte basado en el petróleo. Escribirás guiones que capturen la esencia del mensaje y destaquen la necesidad de alternativas sostenibles. Toma tus cámaras y filma tus PSAs, mostrando tus habilidades de actuación, técnicas de narración visual y habilidades persuasivas. Los comentarios de familiares y amigos, tu propio grupo de enfoque, te ayudarán a refinar y mejorar tus ideas. Finalmente, compartirás tus PSAs y participarás en una competencia amistosa. Es una oportunidad para apreciar el increíble trabajo de tus compañeros y aprender de sus enfoques."
