Chapter,Prompt,Option A,Option B,Option C,Option D,Correct Answer,Explanation,DOK Level,TEKS,Source,URL of diagram,Alternate Text to describe the image,Environmentally Themed Question?,Description
7.1.2,What happens to oxygen molecules during cellular respiration?,They get exhaled directly as a waste product,They get combined with carbon and hydrogen atoms to form glucose.,They get stored inside the body so they can be broken apart later to release energy.,They get combined with carbon from glucose molecules and exhaled as carbon dioxide.,D,"In cellular respiration, the raw ingredients of oxygen and glucose (C6H12O6) get broken apart and rearranged into new combinations. The oxygen combines with carbon from glucose to form carbon dioxide. The body then exhales that.",2,General Chapter Question,Matt's questions,,,,Chapter 7.1.2 -- DOK 2 -- TEKS General Chapter Question
7.1.3,What is a solute in an aqueous solution?,The substance that dissolves in water.,The substance that does the dissolving.,The liquid in which the solute dissolves.,The mixture of solute and solvent.,A,"The solute is the substance that gets dissolved in the solvent to form a solution. In an aqueous solution, water is the solvent, and the solute is the substance that dissolves in water.",2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,What is a solvent in an aqueous solution?,The substance that dissolves in water.,The substance that does the dissolving.,The liquid in which the solute dissolves.,The mixture of solute and solvent.,C,"The solvent is the liquid in which the solute dissolves to form a solution. In an aqueous solution, water is the solvent.",2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,"If you add more solute to a solution while keeping the solvent amount constant, what happens to the concentration?",It increases.,It decreases.,It stays the same.,It depends on the specific solute.,A,Adding more solute to a solution without changing the amount of solvent increases the concentration because there is a higher amount of solute in the same volume of solution.,2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,"If you add more solvent to a solution while keeping the amount of solute constant, what happens to the concentration?",It increases.,It decreases.,It stays the same.,It depends on the specific solute.,B,Adding more solvent to a solution while keeping the amount of solute constant decreases the concentration because the same amount of solute is now spread out in a larger volume of solution.,2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,Which of the following is an example of an aqueous solution?,Saltwater (NaCl dissolved in water),Olive oil and vinegar mix,Granite rock,Liquid nitrogen (N2),A,Aqueous solutions are solutions where water is the solvent. Saltwater is a classic example where sodium chloride (NaCl) is dissolved in water.,2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,"If you have a solution with a high concentration of solute, how would you describe it?",It has a lot of solute dissolved in a small amount of solvent.,It has a small amount of solute dissolved in a large amount of solvent.,It has an equal amount of solute and solvent.,It has no solute at all.,A,A solution with a high concentration of solute has a lot of solute dissolved in a small amount of solvent. This means it is more concentrated.,2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,"If you have a solution with a low concentration of solute, how would you describe it?",It has a lot of solute dissolved in a small amount of solvent.,It has a small amount of solute dissolved in a large amount of solvent.,It has an equal amount of solute and solvent.,It has no solute at all.,B,A solution with a low concentration of solute has a small amount of solute dissolved in a large amount of solvent. This means it is more dilute.,2,7.6D,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,What is the main distinction between a solute and a solvent in a solution?,The solute is the substance that dissolves in the solvent.,The solvent is the substance that dissolves in the solute.,The solvent is the liquid in which the solute dissolves.,The solvent is the mixture of solute and liquid solution.,A,The solute is the substance that gets dissolved in the solvent to form a solution. The solvent is the liquid in which the solute dissolves.,2,7.6D,ChatGPT - TEKS,,,1,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,"Carbon dioxide dissolves into the ocean water forming an aqueous solution. When the concentration of CO2 in the water gets too high, it can damage sea life. What could cause the concentration of CO2 in the ocean to increase?",CO2 from the air dissolves in the ocean.,Additional water flows into the ocean because of increased rainfall.,A decrease in evaporation causes more water to accumulate in the ocean.,CO2 evaporates out of the ocean water and into the air.,A,"An increase in concentration requires an increase in the solute. Adding water or decreasing evaporation cause more solvent for the solution. When CO2 leaves the water, it reduces the solute which decreases the concentration. The way to increase the concentration of CO2 is to have more CO2 dissolve into the ocean.",3,7.6D,Matt's questions,,,1,Chapter 7.1.3 -- DOK 3 -- TEKS 7.6D
7.1.3,A powdery chemical accidentally spills into a pond forming an aqueous solution with the pond water. The chemical is hazardous to plants and animals that live in the pond when its concentration is too high. Which action will decrease the concentration of the pollutant?,Waiting for summer when the water evaporates,Pumping water out of the lake,Adding more of the chemical powder to the lake,Adding additional water to the lake,D,"You can add more solvent to decrease the concentration of a pollutant. In this case, adding water will dillute the concentration of the contaminant.",3,7.6D,Green CoPilot TEKS,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.6D
7.1.3,A student is performing an experiment and wants to decrease the concentration of a sugar solution. Which of the following methods should the student use?,Add more water,Add more sugar,Heat the solution to evaporate the water,Cool the solution to freeze the sugar.,A,Dilution is the process of reducing the concentration of a solution by adding more solvent (water) to the existing solution.,3,7.6D,Green CoPilot TEKS,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.6D
7.1.3,A student wants to make a cup of hot chocolate by mixing cocoa powder (solute) with milk (solvent). Which of the following statements is true?,The milk is the solute and the cocoa powder is the solvent.,The milk is the solvent and the cocoa powder is the solute.,Both the milk and cocoa powder are solutes.,Both the milk and cocoa powder are solvents.,B,"In this scenario, milk is considered the solvent because it is present in greater quantity and dissolves the cocoa powder (solute).",2,7.6D,Green CoPilot TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,A science class is investigating how the concentration of a fertilizer solution affects plant growth. Which of the following experimental setups would allow them to test this?,Add different types of fertilizer to different plants.,Add different amounts of one fertilizer powder to the same amount of water for different plants,Add fertilizer to different parts of different plants.,Add different amounts of the mixed fertilizer to different plants,B,,2,7.6D,Green CoPilot TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.6D
7.1.3,What is one consequence of nutrient pollution in coastal waters?,Enhanced coral reef growth.,Algal blooms and dead zones.,Improved water clarity.,Decreased phytoplankton populations.,B,"Nutrient pollution can lead to algal blooms, which create dead zones where oxygen levels are too low to support most marine life. This can have serious consequences for coastal ecosystems.",1,7.11B,Matt's question,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.11B
7.1.3,Why did the US Government place limits on the number of fish that fishermen were allowed to catch?,To promote competition among fishermen,To ensure that local fishermen could compete with large commercial fishing companies.,To sustain fish populations for the future,To prevent pollution by fishing boats,C,"Overfishing, or catching fish at a rate that exceeds their ability to reproduce, can lead to significant declines in fish populations and disrupt marine ecosystems. By implementing catch limits, the government aims to ensure that fish populations have the opportunity to replenish themselves, maintaining healthy and sustainable ecosystems.",1,7.11B,Matt's questions,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.11B
7.1.3,Overfishing occurs when fishermen catch more fish of a certain type than are born that year. How can overfishing impact ocean systems?,The young of the overfished variety will thrive because of less competition,Biodiversity will increase to fill the niche occupied by the fish that were caught.,Other organisms could suffer because they depend on the fish for food or other services.,"There will temporarily be fewer fish, but the fish will return to their previous level the next year.",C,,2,7.11B,Matt's question,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.11B
7.1.3,What happens to the energy that is not passed on to the next trophic level in an energy pyramid?,It is lost as heat during metabolism and movement.,It is stored in the bodies of the organisms.,It is absorbed by the soil.,It steadily decays over time.,A,The energy that is not passed on to the next trophic level is lost as heat during metabolic processes and movement.,2,7.12A,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.12A
7.1.3,"A rabbit may eat 50,000 Calories worth of grass during its lifetime. When a coyote eats the rabbit the coyote may only get 500 Calories worth of energy from the meat. What can account for the big difference?",The rabbit's digestive system is very inefficient at extracting energy from the grass.,The coyote's digestive system is very inefficent at extracting energy from the rabbit meat.,The energy leaves the rabbit the moment it dies.,The rabbit uses most of the energy from the grass to live and move.,D,"We learned that an area of an ecosystem has a certain amount of energy available (determined mostly by the amount of energy absorbed by the sun by plants in that area). As animals eat the plants, they can access the stored energy in the plants. As predators eat those animals, they don't get all the energy from the original plants because the first level consumers already used most of that energy to stay alive -- moving, and breathing take a lot of energy!",3,7.12A,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12A
7.1.3,"A bat can consume about half its weight in insects every night, yet bats stay approximately the same size and weight for many years. How do they eat so much but not grow?",The bat's digestive system is very inefficient at extracting energy from the insects.,The bat uses most of the energy from the insects to live and move each day.,The bat's metabolism is very slow and so it grows slowly.,Insects are very low in nutrients and contain very little stored energy for the bats.,B,"We learned that an area of an ecosystem has a certain amount of energy available (determined mostly by the amount of energy absorbed by the sun by plants in that area). As animals eat the plants, they can access the stored energy in the plants. As predators eat those animals, they don't get all the energy from the original plants because the first level consumers already used most of that energy to stay alive -- moving, and breathing take a lot of energy!",3,7.12A,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12A
7.1.3,"Hawks are top predators in many ecosystems, feeding on various small mammals. A single mouse may consume a lots of vegetation during its life, while a hawk that captures a mouse may receive only a portion of that energy. What might account for this energy loss?",The hawk's digestive system is very inefficient at extracting energy from the mouse.,The hawk's digestive system is very inefficent at extracting energy from the mouse meat.,The mouse uses most of the energy from the grass to live and move.,The energy leaves the mouse shortly after it stops breathing.,C,"We learned that an area of an ecosystem has a certain amount of energy available (determined mostly by the amount of energy absorbed by the sun by plants in that area). As animals eat the plants, they can access the stored energy in the plants. As predators eat those animals, they don't get all the energy from the original plants because the first level consumers already used most of that energy to stay alive -- moving, and breathing take a lot of energy!",3,7.12A,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12A
7.1.3,"In Africa, lions often eat zebras. A typical zebra weighs about twice as much as a lion and typically only produce one zebra baby each year while lions usually give birth to a litter of 2-4 cubs. Despite these differences, there are usually at least 10 times more zebras than lions in a typical African ecosystem. Why are there so many fewer lions than zebras?","Lions are carnivores at a higher trophic level than zebras, which are primary consumers.",Lions are more prone to diseases that significantly reduce their population.,Lions are more likely to be eaten by predators than zebras.,Lions require more energy to move and breathe than zebras.,A,"We learned that an area of an ecosystem has a certain amount of energy available (determined mostly by the amount of energy absorbed by the sun by plants in that area). As animals eat the plants, they can access the stored energy in the plants. As predators eat those animals, they don't get all the energy from the original plants because the first level consumers already used most of that energy to stay alive -- moving, and breathing take a lot of energy! Because there is less energy available at each trophic level, you can sustain fewer top level predators.",3,7.12A,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12A
7.1.3,"Cooper's Hawks are small birds that can fly extremely fast so they can hunt, catch, and eat other birds including pigeons. Pigeons typically eat parts of plants and are slow at flying. The Cooper's Hawk is actually smaller than most pigeons, but a typical ecosystem where they live might have dozens of pigeons but just one pair of Cooper's hawks. Why are there so many more pigeons than Cooper's Hawks?",Cooper's hawks reproduce more quickly than pigeons.,Cooper's hawks are carnivores at a higher trophic level than pigeons.,Cooper's hawks are more likely to be eaten by large predators than pigeons.,Pigeons are not consumers but Cooper's hawks are.,B,"We learned that an area of an ecosystem has a certain amount of energy available (determined mostly by the amount of energy absorbed by the sun by plants in that area). As animals eat the plants, they can access the stored energy in the plants. As predators eat those animals, they don't get all the energy from the original plants because the first level consumers already used most of that energy to stay alive -- moving, and breathing take a lot of energy! Because there is less energy available at each trophic level, you can sustain fewer top level predators.",3,7.12A,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12A
7.1.3,Consider a forest ecosystem. What role do decomposers play in the ecosystem?,They break down dead organic matter and releases nutrients back into the soil for plants to use,They prevents the overpopulation of certain species in the ecosystem,They provide a direct food source for predators,They transform matter from dead organisms into the energy for plants to use.,A,"Decomposition by detritivores is essential in a forest ecosystem because it breaks down dead organic matter, releasing nutrients back into the soil for plants to use, thus completing the nutrient cycle.",2,7.12B,ChatGPT - TEKS,,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.12B
7.1.3,"In an ecosystem, plants play a crucial role in the flow of energy. What is this role?",Plants are producers and convert sunlight into chemical energy through photosynthesis,Plants are primary consumers and directly feed on other organisms,Plants are decomposers and break down organic matter into nutrients,None of the above,A,"Plants are producers that capture sunlight and convert it into chemical energy through photosynthesis, initiating the flow of energy in the ecosystem.",1,7.12B,ChatGPT - Reading Companion,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,"When an organism dies, what happens to the matter in its body?",It transforms into energy.,It remains in the same form forever.,It is broken down and recycled by decomposers.,It slowly decays and disappears.,C,"Decomposers break down the remains of dead plants and animals, recycling the matter back into the ecosystem.",1,7.12B,ChatGPT - Reading Companion,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,What is the role of producers in an ecosystem?,They make their own food using energy from the Sun.,They eat other organisms for their food.,They break down dead plants and animals.,They recycle matter within the ecosystem.,A,Producers are organisms that can make their own food using energy from the Sun.,1,7.12B,ChatGPT - Reading Companion,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,What is the role of consumers in an ecosystem?,They eat plants or other animals for their food.,They make their own food using energy from the Sun.,They break down dead plants and animals.,They recycle matter within the ecosystem.,A,Consumers are organisms that eat plants or other animals for their food.,1,7.12B,ChatGPT - Reading Companion,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,How do decomposers contribute to the ecosystem?,"They break down the remains of dead plants and animals, recycling the matter.",They make their own food using energy from the Sun.,They transfer food matter and energy between organisms.,They provide energy to the producers.,A,"Decomposers break down the remains of dead plants and animals, recycling the matter back into the ecosystem.",1,7.12B,ChatGPT - Reading Companion,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,A major algae bloom happens where a river meets the ocean. The river travels near many farm fields before it reaches the ocean. Which is the best solution city officials should take to reduce the harmful algae bloom?,Ask farmers to water their crops more to dillute the pollution.,Add chemicals to the bay called herbicides to kill the algae bloom.,Just wait a few weeks until the algae bloom dies off naturally.,Ask farmers to apply fertilizers more carefully so they don't wash into the river.,D,,3,7.11B,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.11B
7.1.3,A coastal town has been experiencing erosion of its beaches. Which of the following human activities is most likely contributing to this erosion?,Building a new walking trail along the coastal bluffs,Planting vegetation along the shoreline,Mining sand from the beach for construction projects.,Implementing fishing regulations,C,Mining sand from the beach for construction projects can contribute to beach erosion. This removal of sand disrupts the natural process of sediment deposition and can lead to the loss of beaches over time.,2,7.11B,"Green CoPilot Conceptest for ""Human imparts on the ocean""",,,,Chapter 7.1.3 -- DOK 2 -- TEKS 7.11B
7.1.3,A coral reef ecosystem is suffering from coral bleaching. Which of the following human activities is most likely responsible for this phenomenon?,Overfishing of predator species,Introduction of invasive species,Construction of artificial reefs,Burning oil and gas as fuels,D,"Coral bleaching happens when the ocean is warmer and more acidic. While each of these is might cause problems for coral, carbon dioxide released when we burn oil and gas acts as a greenhouse gas that warms our planet and also dissolves into the ocean to make the water more acidic -- making it harder for coral to repair its shell.",3,7.11B,"Green CoPilot Conceptest for ""Human imparts on the ocean""",,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.11B
7.1.3,"A group of scientists is studying the impact of plastic pollution on marine life. They find that many sea turtles are ingesting plastic bags, mistaking them for jellyfish. This can lead to serious health consequences for the turtles. Which of the following would be the least effective way to deal with this problem?",Creating more protected areas like national marine sanctuaries,Banning the use of plastic bags,Raising awareness about the issue through education campaigns,Developing storm drain systems that filter out plastic before it reaches the ocean.,A,"While marine sanctuaries could help turtles in general, plastic pollution washes into the ocean and travels long distances. Plastic will wash into the marine sanctuaries just as much as any other spot in the ocean.",3,7.11B,"Green CoPilot Conceptest for ""Human imparts on the ocean""",,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.11B
7.1.3,A pond ecosystem receives energy from the sun. Which organisms in the pond ecosystem are most likely to directly convert this solar energy into chemical energy?,Fish,Algae,Ducks,Snail,B,"Algae are photosynthetic organisms that use sunlight, water, and carbon dioxide to produce chemical energy in the form of glucose.",1,7.12B,Green CoPilot Conceptest for TEKS,,,,Chapter 7.1.3 -- DOK 1 -- TEKS 7.12B
7.1.3,What would happen if there were no decomposers?,The ecosystem would become overpopulated with predators.,Nutrients would remain locked in dead organisms.,Plants would stop producing oxygen.,Carnivores would have no food source.,B,,3,7.12B,Matt's questions,,,,Chapter 7.1.3 -- DOK 3 -- TEKS 7.12B
7.1.4,What is the main role of carbohydrates in the body?,Provide energy for the body,Build skin and muscles,Act as components in cell membranes,Supply important vitamins,A,Carbohydrates primarily serve as an energy source for the body.,1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,Which nutrient is important for the formation of teeth and bones?,Vitamins,Fats,Minerals,Water,C,"Minerals, such as calcium, play a crucial role in the formation of teeth and bones.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,What percentage of the total household carbon footprint is attributed to food?,Over 20%,Less than 10%,Exactly 50%,Around 30%,A,Food makes up over 20% of the total household carbon footprint.,1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,What role does transportation play in the food life cycle?,It involves burning fossil fuels to power vehicles for food transportation,It involves processing food for packaging,It involves growing and harvesting crops and livestock,It involves disposing of food waste,A,Transportation in the food life cycle involves burning fossil fuels to power vehicles for food transportation.,1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,Which method of transport requires the most energy in the food life cycle?,Ships,Trains,Planes,Trucks,C,"Among the transport methods, planes require the most energy in the food life cycle.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,What percentage of food purchased by Americans is estimated to be thrown away?,One third,One half,One tenth,Two thirds,A,Studies estimate that Americans throw away about a third of the food they purchase.,1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,Why does food garbage contribute to greenhouse gas emissions in landfills?,Food releases methane gas when buried in a landfill,Food emits carbon dioxide when buried in a landfill,Food generates heat when disposed of in a landfill,Food causes water pollution when disposed of in a landfill,A,"Food releases methane gas when it is buried in a landfill, contributing to GHG emissions. It's true that landfills can contribute to water pollution, but that is not related to greenhouse gas emissions.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,What is one way farmers can reduce the carbon footprint of food production?,"By leaving plants in the ground to decompose, adding nutrients to the soil and reducing the need for fertilizer.",By removing plants and plowing fields during winter to improve soil quality.,By increasing fertilizer use to enhance plant growth and yield.,By plowing soil to allow excess carbon to escape into the atmosphere.,A,"Leaving plants in the ground over winter allows them to decompose, adding nutrients to the soil and reducing the need for fertilizer, thus reducing the carbon footprint of food production.",3,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
7.1.4,How can choosing foods with less packaging help reduce the carbon footprint of food?,Food can absorb carbon from the atmosphere more easily when there is less packaging.,Carbon escapes more easily when there is less packaging and so it does not stay trapped in the food.,Packaging requires energy and raw materials to manufacture.,Packaging does not contribute to a food's carbon footprint.,C,"Foods with less packaging, like fresh produce, require fewer resources to produce and create less waste. This choice helps reduce the carbon footprint of food.",3,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
7.1.4,Which has the lowest carbon footprint per calorie?,Beef,Chicken,Vegetables,They have the same carbon footprint per calorie.,C,,1,General Chapter Question,Matt's questions,,,,Chapter 7.1.4 -- DOK 1 -- TEKS General Chapter Question
7.1.4,How can buying locally-grown fruits and vegetables at the grocery store help reduce a person's carbon footprint?,It takes fuel to ship food long distances to the store.,Local foods are not processed as much as distant foods.,It takes fuel to get the food home from the grocery store,Local foods are more likely to rot and turn into waste,A,,2,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 7.1.4 -- DOK 2 -- TEKS General Chapter Question
7.1.4,"Sarah is planning her lunch and wants to make sure it follows the MyPlate guidelines. She has a sandwich with turkey, lettuce, and tomato, a side of grapes, and a glass of milk. Which part of her lunch represents the protein food group according to the MyPlate guidelines?",The turkey in the sandwich,The lettuce in the sandwich,The grapes on the side,The glass of milk,A,"According to the MyPlate guidelines, the protein food group includes meat, poultry, seafood, beans, peas, eggs, nuts, and seeds. In this scenario, the turkey in the sandwich is from the protein food group, while the lettuce and tomato are from the vegetable group, the grapes are from the fruit group, and the milk is from the dairy group.",3,General Chapter Question,"Green CoPilot for ""MyPlate nutritional guiedlines""",,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
7.1.4,"Sarah is having lunch and wants to make sure she is following the MyPlate guidelines. She has a plate with a large portion of pasta, a small side of broccoli, and a glass of milk. Which advice should she follow to improve her meal?",Add more pasta to her plate.,Replace the broccoli with potatoes.,Add a serving of fruit to her meal.,Replace the milk with lemonade.,C,"The MyPlate guidelines recommend including a variety of fruits in your diet. By adding a serving of fruit to her meal, Sarah can ensure that she is meeting the recommended nutritional guidelines.",3,General Chapter Question,"Green CoPilot for ""MyPlate nutritional guiedlines""",,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
7.1.4,"Jake is planning his dinner and wants to make sure it follows the MyPlate guidelines. He has a serving of grilled chicken, brown rice, steamed broccoli, and a small piece of chocolate cake for dessert. Which of the following changes would make his meal better aligned with the MyPlate guidelines?",Adding more chicken,Swapping brown rice for white rice,Adding a side of pasta,Replacing chocolate cake with a fruit salad,D,"The MyPlate guidelines recommend making half of your plate fruits and vegetables. By replacing the chocolate cake with a fruit salad, Jake would be adding more fruits to his meal, making it better aligned with the guidelines.",3,General Chapter Question,"Green CoPilot for ""MyPlate nutritional guiedlines""",,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
7.1.4,"Francisco is planning his lunch and wants to make sure it follows the MyPlate guidelines. He has a taco plate with beans, a tortilla, grilled vegetables, and salsa. Which part of his lunch represents the protein food group according to the MyPlate guidelines?",The tortilla,The beans,The grilled vegetables,The salsa,B,"According to the MyPlate guidelines, the protein food group includes meat, poultry, seafood, beans, peas, eggs, nuts, and seeds. In this scenario, the beans are the protein source.",3,General Chapter Question,"Green CoPilot for ""MyPlate nutritional guiedlines""",,,,Chapter 7.1.4 -- DOK 3 -- TEKS General Chapter Question
8.1.1,What technological invention in the 1700s revolutionized transportation?,The steam engine.,The printing press.,The telephone.,The light bulb.,A,"The steam engine, invented in the 1700s, revolutionized transportation by enabling steam-powered boats and ships for water travel. This marked a significant advancement in transportation technology.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 8.1.1 -- DOK 1 -- TEKS General Chapter Question
8.1.1,What modes of transportation are considered human-powered?,Bicycles and scooters.,Cars and trucks.,Trains and buses.,Planes and helicopters.,A,"Bicycles and scooters are considered human-powered modes of transportation. They rely on physical effort for movement, making them environmentally friendly options.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 8.1.1 -- DOK 1 -- TEKS General Chapter Question
8.1.1,Why might human-powered transportation not always be feasible?,Human-powered transportation is not environmentally friendly.,Human-powered transportation is always feasible.,Human-powered transportation is too fast for most situations.,Human-powered transportation doesn't work when distances are too great.,D,"Human-powered transportation may not always be feasible because in some situations, distances are too great, and time constraints are too tight for these options to be practical. This highlights the limitations of such modes of transportation.",2,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 8.1.1 -- DOK 2 -- TEKS General Chapter Question
8.1.1,What is general trend describes how transportation has changed over time?,Modes of transport are using more and more energy,Modes of transport are getting faster and faster,Modes of transport rely more and more on human power.,There are fewer and fewer options for transportation choices.,B,"People walking is arguably one of the slowest forms of transportation, then horseback sped things up dramatically. Roads and chariots allowed smoother and faster travel, replaced by steam engines and eventually airplanes. While the trend is not exclusively towards faster, that option is the best choice.",3,General Chapter Question,Matt's questions,,,,Chapter 8.1.1 -- DOK 3 -- TEKS General Chapter Question
8.1.1,What modes of transportation are considered the cleanest?,Bicycles and scooters.,Cars and trucks.,Trains and buses.,Planes and helicopters.,A,"Human-powered transportation has the fewest extra emissions, though electric power is changing that to some degree.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 8.1.1 -- DOK 1 -- TEKS General Chapter Question
8.1.1,"In City A, the majority of people drive their own cars to work everyday. In City B, most people use public transportation to commute. Both cities have similar populations and a similar geographic area. Which city likely uses more energy on transportation?",City A,City B,They use the same energy.,Neither city uses energy for transportation if their vehicles run on gasoline.,A,"While buses use more energy to go a certain distance than individual cars, buses use less energy per passenger.",3,General Chapter Question,"Green Copilot for ""transportation efficiency trends""",,,,Chapter 8.1.1 -- DOK 3 -- TEKS General Chapter Question
8.1.1,True or False: All vehicles use energy,TRUE,False. Vehicles like sailboats and rafts do not need energy to move.,False. Only vehicles that have a fuel tank or battery use energy.,False. Electric vehicles use energy but gas-powered ones do not.,A,"Every vehicle needs some energy source to move. Sometimes that energy source comes from a fuel or a battery, but other times it comes from an external source like the wind or gravity.",3,General Chapter Question,"Green Copilot for ""transportation efficiency trends""",,,,Chapter 8.1.1 -- DOK 3 -- TEKS General Chapter Question
8.1.1,Which uses more energy to travel a mile: a two seater compact car or a two-person bicycle?,The bicycle because riding a bicycle makes you very tired.,The car because it is so much bigger and heavier.,They use the same energy because they both carry two people.,,B,"While both vehicles move two people, a car's engine has to move its whole big heavy frame. It also has more wind resistance and its tires are bigger so there is more rolling resistance. The car takes more energy than the bike.",3,General Chapter Question,"Green Copilot for ""transportation efficiency trends""",,,,Chapter 8.1.1 -- DOK 3 -- TEKS General Chapter Question
8.1.1,Which uses more energy to travel a mile: a family car or a small helicopter?,The car because it has friction rolling across the ground.,The helicopter because it must fly above the ground.,They use the same energy because they both carry five people.,,B,"Gravity constantly pulls down on both vehicles. For the car, the road pushes back to keep the car from falling down. But for the helicopter, it must constantly push upwards to remain up in the air. That pushing requires a constant source of extra energy. It's true that the friction of the road with the tires slows the car down and takes a small amount of extra energy, but that small amount is less than the extra energy the helicopter needs to stay up in the air.",2,General Chapter Question,"Green Copilot for ""transportation efficiency trends""",,,,Chapter 8.1.1 -- DOK 2 -- TEKS General Chapter Question
8.1.1,"A group of urban planners is studying the relationship between population density and the number of cars in a city. They collect data from several cities and find the following pattern: in cities with higher population density (i.e., more people per square mile) there are fewer cars. What might explain this fact?",High density cities have more old people that can no longer drive.,High density cities have more parking available.,High density cities have fewer roads and so need fewer cars.,High density cities have more young people that use public transit more often.,D,"We see recent trends towards young people being more likely to use ride sharing, public transit, and human-powered transit (walking and biking).",3,General Chapter Question,"GreenCopilot for ""Transportation efficiency""",,,,Chapter 8.1.1 -- DOK 3 -- TEKS General Chapter Question
8.1.2,What happens to the energy of a moving object when its speed increases?,The energy of the object increases.,The energy of the object decreases.,The energy remains the same.,The energy becomes zero.,A,"When the speed of a moving object increases, its kinetic energy (a form of energy associated with motion) also increases. This means the object has more energy.",1,General Chapter Question,ChatGPT -,,,,Chapter 8.1.2 -- DOK 1 -- TEKS General Chapter Question
8.1.2,"If two objects have the same mass but different speeds, which one has more kinetic energy?",The object with the higher speed.,The object with the lower speed.,Both objects have the same energy because they have the same mass.,,A,"The kinetic energy of an object is directly proportional to its speed. Therefore, if two objects have the same mass but different speeds, the one with the higher speed will have more energy.",1,General Chapter Question,ChatGPT -,,,,Chapter 8.1.2 -- DOK 1 -- TEKS General Chapter Question
